"","PN00027MM"
"","Cuentas monetarias del Banco Central de Reserva del Perú - Reservas Internacionales Netas (millones US$)"
Ene15,62618.83685
Feb15,61896.32472
Mar15,61323.23995
Abr15,61626.85287
May15,60413.11782
Jun15,60017.21489
Jul15,59733.7865
Ago15,60612.67381
Sep15,61439.46958
Oct15,62171.67329
Nov15,62196.47556
Dic15,61484.88964
Ene16,59981.47624
Feb16,60197.98622
Mar16,61280.63694
Abr16,61273.4863
May16,60619.25198
Jun16,59563.99063
Jul16,61085.84312
Ago16,61768.57319
Sep16,61574.9499
Oct16,62008.85471
Nov16,61363.67048
Dic16,61685.54143
Ene17,62572.243
Feb17,62290.979
Mar17,62487.097
Abr17,62997.712
May17,63413.84
Jun17,62601.159
Jul17,63050.139
Ago17,62005.163
Sep17,64359.679
Oct17,63560.269
Nov17,62983.005
Dic17,63621.048
Ene18,64289.571
Feb18,61884.723
Mar18,62032.209
Abr18,60190.453
May18,60065.197
Jun18,59079.349
Jul18,60796.978
Ago18,60274.824
Sep18,57940.511
Oct18,58492.225
Nov18,59387.055
Dic18,60121.268
Ene19,62379.595
Feb19,63253.831
Mar19,63091.305074
Abr19,64882.343511
May19,66309.423862
Jun19,66512.571284
Jul19,66753.010056
Ago19,68268.879249
Sep19,67860.131576
Oct19,67986.299528
Nov19,66770.857362
Dic19,68315.894676
Ene20,68398.651695
Feb20,67610.6579
Mar20,68022.027109
Abr20,73632.323937
May20,73439.132808
Jun20,71449.712034
Jul20,74335.721262
Ago20,74667.798748
Sep20,72353.889235
Oct20,72468.23441
Nov20,71723.436978
Dic20,74706.911243
Ene21,76473.883902
Feb21,76028.825524
Mar21,79921.73039
Abr21,77064.076957
May21,73069.455971
Jun21,71892.371738
Jul21,70959.420744
Ago21,74424.863329
Sep21,76024.348881
Oct21,74498.950181
Nov21,78218.187297
Dic21,78495.490171
Ene22,77123.246235
Feb22,76851.166501
Mar22,75323.819078
Abr22,75969.092426
May22,76109.334626
Jun22,73334.939418
Jul22,74090.182647
Ago22,73964.725102
Sep22,74200.880782
Oct22,73827.722757
Nov22,73435.059375
Dic22,71883.365304
Ene23,73281.983235
Feb23,73884.521162
Mar23,72734.406629
Abr23,74591.317776
May23,76243.91193
Jun23,72942.811778
Jul23,73274.556854
Ago23,71852.705556
Sep23,71233.708889
Oct23,71147.787359
Nov23,71751.297916
Dic23,71033.010463
Ene24,73327.465328
Feb24,73943.03284
Mar24,73827.928392
Abr24,74511.669888
May24,73920.00259
Jun24,71415.400974
Jul24,74277.82892
Ago24,80771.266552
Sep24,80364.80297
Oct24,83309.078434
Nov24,83227.783653
Dic24,78986.65285
