"","PN01208PM"
"","Tipo de cambio - promedio del periodo (S/ por US$) - Bancario - Compra"
Ene15,3.0041
Feb15,3.0769
Mar15,3.09027272727273
Abr15,3.118455
May15,3.1492
Jun15,3.16004761904762
Jul15,3.1796
Ago15,3.23671428571429
Sep15,3.21672727272727
Oct15,3.24645
Nov15,3.3347619047619
Dic15,3.38023809523809
Ene16,3.4358
Feb16,3.50428571428571
Mar16,3.40495238095238
Abr16,3.2997619047619
May16,3.33127272727273
Jun16,3.31471428571429
Jul16,3.29673684210526
Ago16,3.33072727272727
Sep16,3.38013636363636
Oct16,3.38419047619048
Nov16,3.40063157894737
Dic16,3.39276190476191
Ene17,3.33809090909091
Feb17,3.2578
Mar17,3.262
Abr17,3.24594444444444
May17,3.27118181818182
Jun17,3.26615
Jul17,3.24736842105263
Ago17,3.24004545454545
Sep17,3.24476190476191
Oct17,3.24963636363636
Nov17,3.23871428571428
Dic17,3.24405263157895
Ene18,3.21371428571429
Feb18,3.2472
Mar18,3.25055
Abr18,3.2296
May18,3.27236363636364
Jun18,3.2697
Jul18,3.27466666666667
Ago18,3.28652380952381
Sep18,3.3098
Oct18,3.33245454545455
Nov18,3.37255
Dic18,3.36173684210526
Ene19,3.34236363636364
Feb19,3.31985
Mar19,3.30314285714286
Abr19,3.30205
May19,3.33054545454546
Jun19,3.32385
Jul19,3.28833333333333
Ago19,3.3758
Sep19,3.35557142857143
Oct19,3.358
Nov19,3.3697
Dic19,3.353
Ene20,3.32581818181818
Feb20,3.38895
Mar20,3.48895454545455
Abr20,3.3948
May20,3.41875
Jun20,3.46847619047619
Jul20,3.51395454545455
Ago20,3.56195238095238
Sep20,3.55277272727273
Oct20,3.59345454545455
Nov20,3.60461904761905
Dic20,3.59966666666667
Ene21,3.62255
Feb21,3.643
Mar21,3.70595652173913
Abr21,3.6953
May21,3.77071428571429
Jun21,3.90485714285714
Jul21,3.9356
Ago21,4.08238095238095
Sep21,4.10431818181818
Oct21,4.0114
Nov21,4.01585714285714
Dic21,4.03163636363636
Ene22,3.88509523809524
Feb22,3.7864
Mar22,3.73465217391304
Abr22,3.73531578947368
May22,3.75359090909091
Jun22,3.74257142857143
Jul22,3.89731578947368
Ago22,3.86990909090909
Sep22,3.89409090909091
Oct22,3.97528571428571
Nov22,3.87371428571429
Dic22,3.8238
Ene23,3.8297619047619
Feb23,3.8379
Mar23,3.77691304347826
Abr23,3.76244444444444
May23,3.68518181818182
Jun23,3.64728571428571
Jul23,3.59675
Ago23,3.69277272727273
Sep23,3.72628571428572
Oct23,3.84063636363636
Nov23,3.75795238095238
Dic23,3.72926315789474
Ene24,3.73595238095238
Feb24,3.82371428571429
Mar24,3.70615789473684
Abr24,3.70790909090909
May24,3.72668181818182
Jun24,3.77973684210526
Jul24,3.7593
Ago24,3.7371
Sep24,3.76428571428571
Oct24,3.74968181818182
Nov24,3.77465
Dic24,3.72963157894737
